statement_id,split,politician,party,side,date,statement,subject,civility,rigor,specificity,focus
197c629de6b1b8a4,dev,Matt Doocey,National,government,2024-01-30,"They were a Government of misinformation. They were a Government of disinformation. They were a Government that was a failed socialist experiment, because there’s only one trick in Labour’s playbook, and that’s to centralise.",,,,,
cec965dccb9f505c,dev,Matt Doocey,National,government,2024-04-30,"Look, thank you very much for the question. It’s a very important question about the priorities going forward. I take this as the annual review debate for 2022-23.",,,,,
c8efec12eda3cbcc,dev,Tim Costley,National,government,2024-10-23,That’s the start of the period and the thinking at the time and New Zealand’s intent to not give citizenship. Let’s fast forward to the end.,,,,,
dda0be64f39f276d,dev,David Seymour,ACT,government,2024-12-18,"See—off the cuff, brother. I also want to thank my two fellow Northlanders Winston Peters and Shane Jones for their collegiality, working through a range of issues and making sure that this Government is dangerously united, dangerous to all our partners who thought it would be so easy.",,,,,
b3418c53843bfa90,dev,Brooke van Velden,ACT,government,2025-02-18,Laura McClure : How will the changes you’ve announced to enable pay deductions for partial strikes benefit the community?,,,,,
0860bf4d156f4027,dev,Erica Stanford,National,government,2025-04-08,"That’s pretty alarming. How would the Minister justify that? Well, it’s not really alarming at all. The fact is—and we had this over all of the curricula areas—there are many people who are involved in a curriculum area, and, on occasion, they disagree—
Katie Nimon : Wow, a difference of opinion!",,,,,
5695c7ca0b8342f9,dev,Mark Patterson,NZ First,government,2025-06-24,"The Principles of the Treaty of Waitangi Bill—opening ourselves up to the world again—lorded over the New Zealand public for more than a year, exhausting many of us.",,,,,
03bb3241f773fd53,dev,Erica Stanford,National,government,2025-11-04,"And I’ll tell you what, the member opposite hasn’t actually said what she thinks that it means. We are being very, very clear.",,,,,
a018716648a80692,dev,Rima Nakhle,National,government,2026-02-18,"This bill would increase trading days, meaning workers have fewer public holidays, which means less time off with whānau, especially for low-wage workers in our hospitality and retail sectors.",,,,,
da701e9260d3ca22,dev,Louise Upston,National,government,2026-05-28,"They would rather be spending their time providing actual healthcare. So did she receive any feedback whatsoever from—and I note the three bodies that are defined in PHPs—psychologists, nurse practitioners, or medical doctors on the pressure on the workforce, and, if not, I’m really keen to know why she wouldn’t have sought that.",,,,,
cb2591f73dccd60f,dev,Ayesha Verrall,Labour,opposition,2024-01-30,"In that case, why did she deny requesting specific advice on an excise tax freeze for cigarettes in an interview with Guyon Espiner?",,,,,
161fb2eca8d11f21,dev,Shanan Halbert,Labour,opposition,2024-02-27,"Today I salute you for the hard yards that you’ve done, and, by God, we stand with you moving forward. I want to push back on the non-Māori across the House that take cheap shots at Te Aka Whai Ora and say it didn’t deliver anything.",,,,,
28a07e9ae6e1a84c,dev,Tamatha Paul,Green,opposition,2024-05-23,"This reflects the reality for many young people in Aotearoa who are choosing to move overseas, where they can earn incomes that allow them to save up for a deposit and to service those regular mortgage payments.",,,,,
39fa283b0bb82b43,dev,Lan Pham,Green,opposition,2024-07-25,"Unfortunately, the committee has stuck with the 10-year time frame for the water services delivery plans, which are completely insufficient when it comes to planning for resilient water infrastructure and water services, particularly with these climate impacts.",,,,,
3d9e72c2b135f735,dev,Rachel Brooking,Labour,opposition,2024-08-20,"As we’ve heard, the purpose of the part in clause 59A is to promote the long-term benefit of consumers and water services, and then, at subclause (3) there, we’ve got that reference back to the start of the bill, at what will be section 3(2)(e), which is the specific provision around Watercare, which I think is what the Minister was referring to when he was saying that there was this deal done in May with Auckland.",,,,,
3d09cddbd423b871,dev,Debbie Ngarewa-Packer,Te Pāti Māori,opposition,2024-10-23,"South Waikato, Maniapoto, Te Nehenehenui, and Raukawa talked about the fact that this cannot succeed at the expense of restoring the health and wellbeing of waterways, as provided under the Waikato River arrangements.",,,,,
84fe24e2a6d5945e,dev,Megan Woods,Labour,opposition,2025-01-29,There were some very specific provisions that went with it. We thought this was an important thing. It was one piece that we needed to put in place in terms of solving our housing crisis.,,,,,
83620ec90e7e1d91,dev,Hana-Rawhiti Maipi-Clarke,Te Pāti Māori,opposition,2025-02-11,"We have self-determined our own systems that work for us. The only problem is we’ve only ever been given 1 percent of the education budget, no matter who’s in Government.",,,,,
eb95e7aa8e114242,dev,Ginny Andersen,Labour,opposition,2025-05-20,"The irony is that the ACT Party turned up in this House, wearing their lapel badges with “ACT” on them. In fact, their leader was reprimanded time and time again for continuing to act against a Speaker’s ruling, where party political badges were not allowed to be worn within this House.",,,,,
846848dc034e8fd4,dev,Deborah Russell,Labour,opposition,2025-07-30,We’ve just seen in the last week or so extraordinary downpours through the country. We know that our weather is being affected by climate change.,,,,,
c6a25d22efcf17de,dev,Phil Twyford,Labour,opposition,2025-11-11,"For this side of the House, it’s so terrifying. It’s so obnoxious that they want to pour Janola on every bit of law and bleach out of it any kind of commitment to the Treaty of Waitangi.",,,,,
a1d9e9600d993e26,dev,Camilla Belich,Labour,opposition,2026-01-27,"It’s easy to dismiss this as kind of technical legislation—and it is technical—but it’s also about how we make law, and so it’s actually, genuinely part of our constitutional framework, and I think we’ve got to remember that when we come to talk about it.",,,,,
de00a11125ef7536,dev,Helen White,Labour,opposition,2026-02-11,"I think that’s really important for the rights of those workers. So I thank him for his question. RACHEL BOYACK (Labour—Nelson) (17:52) : Thank you, Madam Chair.",,,,,
63912225fe110a3d,dev,Arena Williams,Labour,opposition,2026-04-22,What isn’t required to be constantly overseen is things that are in the realm of professional—just doing the work well. Like water hammers—we don’t need inspectors coming out on site and making sure that the person that’s run the pipes has made sure that there’s not a water hammer effect.,,,,,
89fe4eaa20e2d2c1,dev,Julie Anne Genter,Green,opposition,2026-05-21,"Why is the Government proceeding with an expensive public-private partnership road at the same time it has disclosed plans to, potentially, lay off 9,000 New Zealanders from the public service?",,,,,
61a0a6ce2ac8f8dc,dev,Christopher Luxon,National,government,2023-12-12,"Question No. 2—Finance
2. STUART SMITH (National—Kaikōura) to the Minister of Finance: What reports has she received on the state of the New Zealand economy?",,,,,
